stock_id:ID,name,list_date,reg_capital,setup_date,employees,:LABEL
002186,全聚德,20071120,30846.3955,19940616,4817.0,Company
002187,广百股份,20071122,34242.2568,19900827,3276.0,Company
002188,*ST巴士,20071122,29562.7524,20021120,657.0,Company;ST
002189,中光学,20071203,26237.1833,19950405,2906.0,Company
002190,*ST集成,20071203,35872.9343,20001206,3245.0,Company;ST
002191,劲嘉股份,20071205,146487.045,19961014,4404.0,Company
002192,融捷股份,20071205,25965.5203,19980821,410.0,Company
002193,如意集团,20071207,26171.555,19931228,4016.0,Company
002194,*ST凡谷,20071207,56466.9722,19891020,3336.0,Company;ST
002195,二三四五,20071212,577042.7743,19890407,906.0,Company
002196,方正电机,20071212,46869.492999999995,20011220,2406.0,Company
002197,证通电子,20071218,51515.6948,19930904,1976.0,Company
002198,嘉应制药,20071218,50750.9848,20030307,1021.0,Company
002199,东晶电子,20071221,24344.2363,19990423,561.0,Company
002200,*ST云投,20071221,18413.289,20010807,381.0,Company;ST
002201,九鼎新材,20071226,33246.747,19940630,2037.0,Company
002202,金风科技,20071226,422506.7647,20010326,8753.0,Company
002203,海亮股份,20080116,195210.7432,20011029,7132.0,Company
002204,大连重工,20080116,193137.0032,19930218,5588.0,Company
002205,国统股份,20080123,11615.2018,20010830,1120.0,Company
002206,海利得,20080123,122302.8645,20010521,2435.0,Company
002207,ST准油,20080128,23917.7378,20010629,814.0,Company;ST
002208,合肥城建,20080128,51216.0,19990907,221.0,Company
002209,达意隆,20080130,19524.405,19981218,1253.0,Company
002210,*ST飞马,20080130,165288.0386,19980709,433.0,Company;ST
002211,宏达新材,20080201,43247.5779,20020424,426.0,Company
002212,南洋股份,20080201,115848.3285,19850830,4658.0,Company
002213,特尔佳,20080201,20600.0,20001025,197.0,Company
002214,大立科技,20080218,45866.6666,20010719,569.0,Company
002215,诺普信,20080218,91407.6384,19990918,2922.0,Company
002216,三全食品,20080220,80181.5606,20010628,6844.0,Company
002217,合力泰,20080220,311641.622,20030430,27953.0,Company
002218,拓日新能,20080228,123634.2104,20020815,1251.0,Company
002219,恒康医疗,20080306,186523.643,20010930,8608.0,Company
002220,ST天宝,20080228,76648.0153,19970925,1368.0,Company;ST
002221,东华能源,20080306,164978.2824,19960422,1620.0,Company
002222,福晶科技,20080319,42750.0,20011031,1130.0,Company
002223,鱼跃医疗,20080418,100247.6929,19981022,4870.0,Company
002224,三力士,20080425,71613.5678,20021111,1198.0,Company
002225,濮耐股份,20080425,103404.6379,20020128,4165.0,Company
002226,江南化工,20080506,124898.16900000001,19981203,4069.0,Company
002227,奥特迅,20080506,22059.74,19980220,614.0,Company
002228,合兴包装,20080508,116951.6948,19930517,8261.0,Company
002229,鸿博股份,20080508,49975.2213,19990615,1420.0,Company
002230,科大讯飞,20080512,220053.0492,19991230,10970.0,Company
002231,奥维通信,20080512,35680.0,20001221,168.0,Company
002232,启明信息,20080509,40854.8455,20001025,1651.0,Company
002233,塔牌集团,20080516,119227.5016,19950629,3143.0,Company
