Unnamed: 0,ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio
0,600000,20180428.0,20171231,中央汇金资产管理有限责任公司,398521409.0,1.36
1,002927,20190626.0,20190624,长园集团股份有限公司,20473324.0,11.993
2,002927,20190626.0,20190624,深圳市泰永科技股份有限公司,93329600.0,54.67
3,002927,20190424.0,20190331,华夏人寿保险股份有限公司-自有资金,2430000.0,1.99
10,002927,20190424.0,20190331,深圳市天宇恒盈投资合伙企业(有限合伙),3900000.0,3.2
12,300696,20190426.0,20190331,成都富润财富股权投资基金合伙企业(有限合伙),5760720.0,4.91
13,300696,20190426.0,20190331,上海诚毅新能源创业投资有限公司,5467069.0,4.66
14,300696,20190426.0,20190331,成都天合创富企业管理合伙企业(有限合伙),4218900.0,3.6
15,300696,20190426.0,20190331,四川海特航空创业投资基金合伙企业(有限合伙),3871122.0,3.3
16,300696,20190426.0,20190331,成都市新申创业投资有限公司,2761147.0,2.36
21,002960,20190722.0,20190722,北京北大青鸟环宇科技股份有限公司,91836720.0,51.02
31,300742,20190501.0,20190331,伊犁苏新投资基金合伙企业(有限合伙),4633617.0,5.9
33,300742,20190501.0,20190331,北京香山财富投资管理有限公司-北京香山财富创投一号投资中心(有限合伙),2040000.0,2.6
34,300742,20190501.0,20190331,江苏高投邦盛创业投资合伙企业(有限合伙),1989000.0,2.53
35,300742,20190501.0,20190331,南京越博进驰股权投资基金合伙企业(有限合伙),8160000.0,10.4
36,300742,20190501.0,20190331,福建省兴和股权投资有限合伙企业,1530000.0,1.95
37,300742,20190501.0,20190331,福建华兴汇源投资合伙企业(有限合伙),1530000.0,1.95
38,300742,20190501.0,20190331,上海歌石股权投资基金合伙企业(有限合伙),2203200.0,2.81
39,300742,20190501.0,20190331,上海汉王歌石股权投资基金合伙企业(有限合伙),3733200.0,4.76
40,300742,20190501.0,20190331,南京协恒股权投资基金合伙企业(有限合伙),4080000.0,5.2
43,300700,20190429.0,20190331,长沙岱梦投资管理合伙企业(有限合伙),1080000.0,1.31
44,300700,20190429.0,20190331,上海鸿华股权投资合伙企业(有限合伙),1719200.0,2.09
45,300700,20190429.0,20190331,广东启程青年创业投资合伙企业(有限合伙),1956000.0,2.37
46,300700,20190429.0,20190331,上海祥禾泓安股权投资合伙企业(有限合伙),2496500.0,3.03
47,300700,20190429.0,20190331,上海祥禾股权投资合伙企业(有限合伙),2578500.0,3.13
48,300700,20190429.0,20190331,江苏高投中小企业创业投资有限公司,2670000.0,3.24
49,300700,20190429.0,20190331,北京启迪汇德创业投资有限公司,3222000.0,3.91
51,300685,20190730.0,20190630,前瞻投资(香港)有限公司,33961680.0,23.07
52,300685,20190730.0,20190630,厦门市海沧区屹祥投资合伙企业(有限合伙),13667400.0,9.28
53,300685,20190730.0,20190630,厦门市海沧区科英投资合伙企业(有限合伙),12656520.0,8.6
54,300685,20190730.0,20190630,"OrbiMed Asia Partners Ⅱ,L.P.",6960300.0,4.73
55,300685,20190730.0,20190630,福建省龙岩市鑫莲鑫投资合伙企业(有限合伙),6119447.0,4.16
56,300685,20190730.0,20190630,厦门市海沧区润鼎盛投资合伙企业(普通合伙),5269320.0,3.58
57,300685,20190730.0,20190630,厦门龙柏宏信创业投资合伙企业(有限合伙),4563620.0,3.1
58,300685,20190730.0,20190630,招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金,4097461.0,2.78
59,300685,20190730.0,20190630,苏州启明创智股权投资合伙企业(有限合伙),2336280.0,1.59
60,300685,20190730.0,20190630,QM18 LIMITED,2881820.0,1.96
61,002938,20190430.0,20190331,深圳市信群投资合伙企业(有限合伙),15499968.0,0.67
62,002938,20190430.0,20190331,深圳市益富投资合伙企业(有限合伙),17084836.0,0.74
63,002938,20190430.0,20190331,兼善投资有限公司,24031764.0,1.04
64,002938,20190430.0,20190331,悦沣有限公司,40549195.0,1.75
65,002938,20190430.0,20190331,德乐投资有限公司,75619803.0,3.27
66,002938,20190430.0,20190331,宁波梅山保税港区兼善投资管理有限公司-宁波梅山保税港区兼善鹏诚股权投资合伙企业(有限合伙),123764705.0,5.35
67,002938,20190430.0,20190331,集辉国际有限公司,148954568.0,6.44
68,002938,20190430.0,20190331,美港实业有限公司,1534242198.0,66.38
69,002938,20190430.0,20190331,春华秋实(天津)股权投资管理有限公司-秋实兴本(天津)投资中心(有限合伙),23529411.0,1.02
70,002938,20190430.0,20190331,毅富管理有限公司,24031764.0,1.04
71,300597,20190425.0,20190331,吉林吉大控股有限公司,48000000.0,20.0
72,300597,20190425.0,20190331,芜湖领先基石创业投资合伙企业(有限合伙),7958900.0,3.32
76,300597,20190425.0,20190331,全国社会保障基金理事会转持一户,6000000.0,2.5
83,300679,20190730.0,20190726,宁波琮碧睿信投资管理合伙企业(有限合伙),20465383.0,7.29
90,300679,20190702.0,20190701,宁波琮碧睿信投资管理合伙企业(有限合伙),20465383.0,7.29
94,002952,20190429.0,20190331,亚世光电(香港)有限公司,26766000.0,36.65
95,002952,20190429.0,20190331,福建匹克投资管理有限公司-匹克投资趋势1号,225000.0,0.31
98,002952,20190429.0,20190331,联讯证券股份有限公司,269000.0,0.37
100,002952,20190429.0,20190331,招商证券股份有限公司,65168.0,0.09
101,300703,20190417.0,20190415,宁波市北仑合力管理咨询有限公司,37350000.0,31.13
102,300703,20190415.0,20190412,宁波市北仑合力管理咨询有限公司,37350000.0,31.13
103,300703,20190415.0,20190412,宁波天堂硅谷合众股权投资合伙企业(有限合伙),6000100.0,5.0
