:START_ID,jobs,:END_ID,:TYPE
8b077574d0b7b2f809e1d60530bcba11,董事长/董事,601058,employ of
a71f7fb08fcdcb98f721972cb1e9c015,副董事长/董事,601058,employ of
f985d0f4fdb7fa87ddbaa5afc167f21b,董事,601058,employ of
43c67b39ef4adcccf87025957a56acea,董事,601058,employ of
aff93af1d9fcef7a0c1e2d9662bc3a88,董事,601058,employ of
e9b58dda315de235fe1d7be9e1eaa78c,董事,601058,employ of
43559251a48cb7d590be8b6c32930df6,独立董事,601058,employ of
e4865cc8856b3e2b6b1153edffcdcf9b,独立董事,601058,employ of
9b98a3b3ad31e08a29166c9157911c06,独立董事,601058,employ of
5ece2cd4420322921b34ea43eb151aad,董事长/董事,600219,employ of
7fa157b194f28291fe17783e02054bc5,董事,600219,employ of
bd0c46e6cd2ae557de2c4935b293704c,董事,600219,employ of
4e08b254f757b7b1cb3d8aeda0f89685,董事,600219,employ of
ad076c5a3c20844c4bcc8da1ffab93e0,董事,600219,employ of
a1d332c19699841bd1992e1215b14cba,董事,600219,employ of
726c4717e5431b8a604782070b32a825,独立董事,600219,employ of
89234985d008a9e27a19d4b23f499f8c,独立董事,600219,employ of
188b1ea8de602867897cb1db2d1fbc9b,独立董事,600219,employ of
5b4bcde3f35f9ca456451631ea53b353,董事长/董事,300345,employ of
206f3486eecf7214d039e893525502d3,董事,300345,employ of
aa157a35530a064f26f4d46f3879dad0,董事,300345,employ of
959969fad185c354c5f246e333dfd715,独立董事,300345,employ of
c01692040626a56936c10df08a74cd68,独立董事,300345,employ of
fddbc39a81973abfd06f1e38c30f7d90,独立董事,300345,employ of
285ac6e9296e50effbc992dc8b6d29e7,董事长/董事,600649,employ of
dcebd7211046bd352281dadb63531ae7,副董事长/董事,600649,employ of
aca79b95387e834bcff7c5e316be3994,董事,600649,employ of
44f51a73d448a7eeaf68bbbce852264a,董事,600649,employ of
36d31d762214d29e64faa39b230ed708,董事,600649,employ of
ed42e9e9ef24675e085655740d135ade,董事,600649,employ of
cc91fa67ab2be53edf4a1cced5c4aba4,独立董事,600649,employ of
60ad4a068dc9c58ec232d594e9f4b7dc,独立董事,600649,employ of
dc21aa0e297cd626d5fc054ee5dc3c5e,独立董事,600649,employ of
559da2f0070765e6bde85a3c2c94e98a,董事长/董事,002287,employ of
4b5b6ff03ab94fa571e68d5c8d09fb22,董事,002287,employ of
98b432470a95afd5b52b58aaa7dd670e,董事,002287,employ of
b262819d7b5228b59f0f0ddefaf36fee,董事,002287,employ of
4ed25f690715b6759b3a967950785883,独立董事,002287,employ of
47be9a74457a43592c9cdbd8233ea74d,独立董事,002287,employ of
a0d7c2695fee61e72eac15f8d3625278,独立董事,002287,employ of
42c42a3d095f8ab7a21f50ad04f58c2a,董事长/董事,002268,employ of
85056d0d9a4d6e2ba428764ae45eda0b,副董事长/董事,002268,employ of
b3e753247f110c97bcc55cd00cc5bdba,董事,002268,employ of
03a4b21be8a817f57087e7522beacc0e,董事,002268,employ of
639377b4e63ab4b71efa2e47af22ef90,董事,002268,employ of
9ae78081413fb967d6d5046524545bea,董事,002268,employ of
a50509b6449b4db749a25fdf1f80d4cf,独立董事,002268,employ of
895aa3a1826c238a95e4e0b7fb918622,独立董事,002268,employ of
43d399e8e005a3450b18561bdcf71fa0,独立董事,002268,employ of
ebdc57b78ac39f47cdba45db15f9f1bd,董事长/董事,603989,employ of
9e7826206c7270cc31c05387eaacdb8e,董事,603989,employ of
25a451c49c8948281d04894984c6c004,董事,603989,employ of
7053e99953071f215819a5d44607f8e0,董事,603989,employ of
6d624d46746fab0d4da60f0e414bf07e,独立董事,603989,employ of
d182e73cb1fc13f93ac000186e9aa2f7,独立董事,603989,employ of
fc548629478857f75557fc460972648d,独立董事,603989,employ of
8bc1c093899ea0091b39fa002c6dc3a5,董事长/董事,300200,employ of
fe88b1d2108a91ec91d25bc439abdd69,副董事长/董事,300200,employ of
66679571acccc46b396decd16fbb0d2a,董事,300200,employ of
8522bc56907a3900de87d6277ea173ff,董事,300200,employ of
5e46ddf844704d3fa488f64b30ed00d6,独立董事,300200,employ of
89011fe592003387d7122bc405142b0c,独立董事,300200,employ of
e4db34662adab243401f9076c5e1a52a,独立董事,300200,employ of
298ad7a3e325e98ee6e76f52f851d561,董事长/董事,002638,employ of
