,ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio
73,300597.SZ,20190425,20190331,于沆,3937500.0,1.64
74,300597.SZ,20190425,20190331,金谊晶,3937500.0,1.64
75,300597.SZ,20190425,20190331,林佳云,7714281.0,3.21
76,300597.SZ,20190425,20190331,全国社会保障基金理事会转持一户,6000000.0,2.5
77,300597.SZ,20190425,20190331,孟庆开,4821429.0,2.01
78,300597.SZ,20190425,20190331,邸朝生,4821429.0,2.01
79,300597.SZ,20190425,20190331,赵琛,4821429.0,2.01
80,300597.SZ,20190425,20190331,杨华,3937500.0,1.64
81,300679.SZ,20190730,20190726,陈育宣,71346974.0,25.41
82,300679.SZ,20190730,20190726,任俊江,31446787.0,11.2
83,300679.SZ,20190730,20190726,宁波琮碧睿信投资管理合伙企业(有限合伙),20465383.0,7.29
84,300679.SZ,20190730,20190726,林德英,34279643.0,12.21
85,300679.SZ,20190730,20190726,陈育宣,71346974.0,25.41
86,300679.SZ,20190730,20190726,任俊江,31446787.0,11.2
87,300679.SZ,20190702,20190701,任俊江,33989787.0,12.1
88,300679.SZ,20190702,20190701,陈育宣,71346974.0,25.41
89,300679.SZ,20190702,20190701,林德英,34279643.0,12.21
90,300679.SZ,20190702,20190701,宁波琮碧睿信投资管理合伙企业(有限合伙),20465383.0,7.29
91,002952.SZ,20190429,20190331,解治刚,6182000.0,8.46
92,002952.SZ,20190429,20190331,边瑞群,10116000.0,13.85
93,002952.SZ,20190429,20190331,林雪峰,10127000.0,13.87
94,002952.SZ,20190429,20190331,亚世光电(香港)有限公司,26766000.0,36.65
95,002952.SZ,20190429,20190331,福建匹克投资管理有限公司-匹克投资趋势1号,225000.0,0.31
96,002952.SZ,20190429,20190331,廖炜东,75000.0,0.1
97,002952.SZ,20190429,20190331,周雪钦,105000.0,0.14
98,002952.SZ,20190429,20190331,联讯证券股份有限公司,269000.0,0.37
99,002952.SZ,20190429,20190331,邢志奇,48000.0,0.07
100,002952.SZ,20190429,20190331,招商证券股份有限公司,65168.0,0.09
101,300703.SZ,20190417,20190415,宁波市北仑合力管理咨询有限公司,37350000.0,31.13
102,300703.SZ,20190415,20190412,宁波市北仑合力管理咨询有限公司,37350000.0,31.13
103,300703.SZ,20190415,20190412,宁波天堂硅谷合众股权投资合伙企业(有限合伙),6000100.0,5.0
104,300703.SZ,20190426,20190331,宁波市合博汇投资咨询有限公司,1849050.0,1.54
105,300703.SZ,20190426,20190331,柴孝海,2700000.0,2.25
106,300703.SZ,20190426,20190331,江明中,3600000.0,3.0
107,300703.SZ,20190426,20190331,任召国,5400000.0,4.5
108,300703.SZ,20190426,20190331,宁波天堂硅谷合众股权投资合伙企业(有限合伙),6600000.0,5.5
109,300703.SZ,20190426,20190331,宁波市北仑合力管理咨询有限公司,37350000.0,31.13
110,300703.SZ,20190426,20190331,王桂强,2250000.0,1.88
111,002887.SZ,20190725,20190630,祁永,46800000.0,22.5
112,002887.SZ,20190725,20190630,卢云平,1950000.0,0.94
